Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
10.53,CAMERA_IP,,DOMAIN_IP,,TCP,1467,12,TCP PSH Retransmission,161681,1804,33580,1413,
0.15,CAMERA_IP,,DOMAIN_IP,,TCP,60,24,TCP CAM Duplicate ACK,172985,1804,33580,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,54,24,TCP CAM Duplicate ACK,172985,1804,33580,0,
82.73,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,174398,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,175811,1804,33580,1413,
9.29,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,177224,1804,33580,1413,
10.78,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,178637,1804,33580,1413,
0.22,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,180050,1804,33580,1413,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,181463,1804,33580,1413,
0.21,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,182876,1804,33580,1413,
0.17,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,184289,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,185702,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,187115,1804,33580,1413,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,188528,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,189941,1804,33580,1413,
6.69,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,177224,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,46,TCP DOM Duplicate ACK,1804,177224,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,45,TCP DOM Duplicate ACK,1804,177224,65535,0,
2.94,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,191354,1804,33580,1413,
0.22,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,192767,1804,33580,1413,
0.16,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,194180,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,195593,1804,33580,1413,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,197006,1804,33580,1413,
1.76,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,198419,1804,33580,1413,
5.04,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,178637,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,27,TCP DOM Duplicate ACK,1804,178637,65535,0,
0.05,DOMAIN_IP,,CAMERA_IP,,TCP,60,26,TCP DOM Duplicate ACK,1804,178637,65535,0,
5.15,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,199832,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,201245,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,202658,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,204071,1804,33580,1413,
