Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
519.77,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,72662,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,673,TCP_DOM_Duplicate_ACK,1804,72662,65535,0,
316.44,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,22215,TCP_PSH_Retransmission,64184,1804,33580,1413,
9.47,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,672,TCP_DOM_Duplicate_ACK,1804,72662,65535,0,
131.61,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,127769,1804,33580,1413,
0.15,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,129182,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,130595,1804,33580,1413,
0.18,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,132008,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,133421,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,187,TCP_CAM_PSH_ACK,134834,1804,33580,1413,
0.18,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,136247,1804,33580,1413,
91.19,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,74075,65535,0,
0.04,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,790,TCP_DOM_Duplicate_ACK,1804,74075,65535,0,
0.09,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,789,TCP_DOM_Duplicate_ACK,1804,74075,65535,0,
204.49,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,137660,1804,33580,1413,
99.54,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,75488,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1064,TCP_DOM_Duplicate_ACK,1804,75488,65535,0,
0.12,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1064,TCP_DOM_Duplicate_ACK,1804,75488,65535,0,
359.09,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,12,TCP_PSH_Retransmission,74075,1804,33580,1413,
92.29,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,19,TCP_CAM_PSH_ACK,139073,1804,33580,1413,
47.08,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,76901,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,788,TCP_DOM_Duplicate_ACK,1804,76901,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,787,TCP_DOM_Duplicate_ACK,1804,76901,65535,0,
400.93,,CAM_TO_DOM_PORT,CAMERA_IP,DOM_PORT,ICMP,590,250,ICMP_TTL,,,,,
188.29,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,28242,TCP_CAM_PSH_ACK,140486,1804,33580,1413,
76.51,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,42,TCP_CAM_Duplicate_ACK,141899,1804,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,42,TCP_CAM_Duplicate_ACK,141899,1804,33580,0,
32.66,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,79727,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1283,TCP_DOM_Duplicate_ACK,1804,79727,65535,0,
0.05,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1282,TCP_DOM_Duplicate_ACK,1804,79727,65535,0,
365.6,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,23,TCP_PSH_Retransmission,76901,1804,33580,1413,
30.55,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,23,TCP_CAM_PSH_ACK,141899,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,143312,1804,33580,1413,
0.54,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,593,TCP_Out_Of_Order,140486,1804,33580,1413,
98.48,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,81140,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1514,TCP_DOM_Duplicate_ACK,1804,81140,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1513,TCP_DOM_Duplicate_ACK,1804,81140,65535,0,
371.8,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,4,TCP_PSH_Retransmission,79727,1804,33580,1413,
119.12,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,144725,1804,33580,1413,
80.26,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,48,TCP_CAM_Duplicate_ACK,146138,1804,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,48,TCP_CAM_Duplicate_ACK,146138,1804,33580,0,
34.64,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,82553,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1654,TCP_DOM_Duplicate_ACK,1804,82553,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1653,TCP_DOM_Duplicate_ACK,1804,82553,65535,0,
376.82,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,36040,TCP_PSH_Retransmission,81140,1804,33580,1413,
507.33,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,146138,1804,33580,1413,
108.68,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,83966,65535,0,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1830,TCP_DOM_Duplicate_ACK,1804,83966,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1829,TCP_DOM_Duplicate_ACK,1804,83966,65535,0,
373.86,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,12,TCP_PSH_Retransmission,82553,1804,33580,1413,
239.83,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,11,TCP_CAM_PSH_ACK,147551,1804,33580,1413,
58.26,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,24,TCP_CAM_Duplicate_ACK,148964,1804,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,24,TCP_CAM_Duplicate_ACK,148964,1804,33580,0,
35.66,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_DOM_ACK,1804,85379,65535,0,
0.04,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,54,1670,TCP_DOM_Duplicate_ACK,1804,85379,65535,0,
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1669,TCP_DOM_Duplicate_ACK,1804,85379,65535,0,
